DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyWindSpeed,HOUR,tmp
2018-01-01T00:51:00,-4,0,9,0,-20
2018-01-01T01:51:00,-4,0,10,1,-20
2018-01-01T02:51:00,-4,0,10,2,-20
2018-01-01T03:51:00,-5,0,7,3,-21
2018-01-01T04:51:00,-5,0,9,4,-21
2018-01-01T05:51:00,-5,0,6,5,-21
2018-01-01T06:51:00,-5,0,8,6,-21
2018-01-01T07:51:00,-4,0,6,7,-20
2018-01-01T08:51:00,-3,0,6,8,-19
2018-01-01T09:51:00,-3,0,8,9,-19
2018-01-01T10:51:00,-4,0,9,10,-20
2018-01-01T11:51:00,-4,0,8,11,-20
2018-01-01T12:51:00,-5,0,10,12,-21
2018-01-01T13:51:00,-5,0,9,13,-21
2018-01-01T14:51:00,-5,0,3,14,-21
2018-01-01T15:51:00,-6,0,9,15,-21
2018-01-01T16:51:00,-5,0,7,16,-21
2018-01-01T17:51:00,-6,0,9,17,-21
2018-01-01T18:51:00,-4,0,3,18,-20
2018-01-01T19:51:00,-4,0,8,19,-20
2018-01-01T20:51:00,-2,0,5,20,-19
2018-01-01T21:51:00,0,0,10,21,-18
2018-01-01T22:51:00,2,0,11,22,-17
2018-01-01T23:51:00,3,0,3,23,-16
2018-01-02T00:51:00,2,0,10,24,-17
2018-01-02T01:51:00,1,0,15,25,-17
2018-01-02T02:51:00,1,0,13,26,-17
2018-01-02T03:51:00,1,0,11,27,-17
2018-01-02T04:51:00,1,0,5,28,-17
2018-01-02T05:51:00,1,0,7,29,-17
2018-01-02T06:51:00,1,0,8,30,-17
2018-01-02T07:51:00,2,0,5,31,-17
2018-01-02T09:51:00,3,0,7,33,-16
2018-01-02T10:51:00,4,0,8,34,-16
2018-01-02T11:51:00,5,0,8,35,-15
2018-01-02T12:51:00,6,0,8,36,-14
2018-01-02T13:51:00,6,0,6,37,-14
2018-01-02T14:51:00,6,0,5,38,-14
2018-01-02T15:51:00,7,0,8,39,-14
2018-01-02T16:51:00,7,0,9,40,-14
2018-01-02T17:51:00,6,0,5,41,-14
2018-01-02T18:51:00,6,0,9,42,-14
2018-01-02T19:51:00,5,0,9,43,-15
2018-01-02T20:51:00,5,0,8,44,-15
2018-01-02T21:51:00,4,0,6,45,-16
2018-01-02T22:51:00,3,0,7,46,-16
2018-01-02T23:51:00,2,0,9,47,-17
2018-01-03T00:51:00,3,0,5,48,-16
2018-01-03T01:51:00,2,0,5,49,-17
2018-01-03T02:51:00,2,0,7,50,-17
2018-01-03T04:51:00,1,0,5,52,-17
2018-01-03T05:51:00,0,0,0,53,-18
2018-01-03T06:51:00,0,0,3,54,-18
2018-01-03T07:51:00,-1,0,0,55,-18
2018-01-03T08:51:00,0,0,7,56,-18
2018-01-03T09:51:00,-1,0,3,57,-18
2018-01-03T10:51:00,1,0,5,58,-17
2018-01-03T11:51:00,2,0,0,59,-17
2018-01-03T12:51:00,2,0,0,60,-17
2018-01-03T13:51:00,0,0,3,61,-18
2018-01-03T14:51:00,2,0,0,62,-17
2018-01-03T15:51:00,2,0,0,63,-17
2018-01-03T16:51:00,5,0,6,64,-15
2018-01-03T17:51:00,7,0,0,65,-14
2018-01-03T18:51:00,4,0,5,66,-16
2018-01-03T19:51:00,2,0,0,67,-17
2018-01-03T20:51:00,11,0,7,68,-12
2018-01-03T21:51:00,12,0,5,69,-11
2018-01-03T22:51:00,12,0,5,70,-11
2018-01-03T23:51:00,11,0,5,71,-12
2018-01-04T00:51:00,6,0,7,72,-14
2018-01-04T01:25:00,11,0,7,73,-12
2018-01-04T01:51:00,12,0,8,73,-11
2018-01-04T02:49:00,7,0,9,74,-14
2018-01-04T02:51:00,7,0,7,74,-14
2018-01-04T03:51:00,8,0,10,75,-13
2018-01-04T04:51:00,9,0,11,76,-13
2018-01-04T05:02:00,13,0,14,77,-11
2018-01-04T05:24:00,18,0,8,77,-8
2018-01-04T05:51:00,19,0.01,5,77,-7
2018-01-04T06:51:00,20,0.07,10,78,-7
2018-01-04T07:46:00,21,0.07,11,79,-6
2018-01-04T07:51:00,20,0.08,9,79,-7
2018-01-04T08:51:00,19,0.11,14,80,-7
2018-01-04T09:40:00,20,0.09,11,81,-7
2018-01-04T09:48:00,19,0.1,13,81,-7
2018-01-04T09:51:00,20,0.13,14,81,-7
2018-01-04T10:14:00,20,0.01,11,82,-7
2018-01-04T10:21:00,20,0.01,21,82,-7
2018-01-04T10:51:00,21,0.05,17,82,-6
2018-01-04T11:34:00,21,0.07,16,83,-6
2018-01-04T11:51:00,21,0.11,17,83,-6
2018-01-04T12:46:00,21,0.09,9,84,-6
